Objective1,Objective2,Objective3
27,1720.6948146407979,2704.7508091916684
25,1728.6474005082737,2779.7804998136344
27,1796.7985129139272,2669.3021188015864
26,1712.5304803318961,2789.4477430691213
26,1733.2311061318803,2710.977999386405
26,1663.7272576056525,2864.3514774474897
27,1646.058791317312,2741.2855310177833
25,1696.2291672302504,2829.8922282531457
27,1744.5485289492276,2702.627297052746
28,1657.3233660639007,2734.634356100569
26,1724.8258133681609,2719.2979172051537
25,1755.7094907041314,2758.4117065946307
