Objective1,Objective2,Objective3
25,1994.638141330883,2941.381402647706
25,1842.1414065124807,3360.463275170923
27,1867.7145741270524,3109.0488209030323
26,1908.2521985431197,2997.049442733249
25,1844.506794090656,3344.7751455641355
24,1964.6064743892905,3118.8341721496754
24,1876.5936157583612,3241.8502580964955
25,1930.9993431451073,3001.380530599641
26,1912.573267325331,2991.828166846715
24,1996.6104688399914,3101.998786472981
25,1835.575430373568,3445.642930413608
24,1867.354502448353,3281.916608329541
24,1898.7843139645356,3221.8171452193155
24,1923.412878150704,3210.3071071643426
25,1941.4406775388825,2971.8056180381254
26,1929.840356454599,2978.8192689356033
26,1912.573267325331,2991.828166846715
24,1938.1488634284024,3186.639572798239
25,1850.570089601611,3201.579384822361
26,1858.1709909199265,3184.8598465764458
26,1888.4167661954834,3001.158983899777
25,1874.329121230055,3007.1890670955386
26,1860.709623584744,3120.1854234385846
25,1882.931853969305,3003.1176284939424
24,1980.4637567982622,3106.23813598314
24,1952.9137706700828,3153.7301781446945
24,2052.519854119574,3065.2318807833285
25,1932.3201580651546,2975.605151903106
24,2006.4065389216582,3096.8963166405997
25,1874.329121230055,3007.1890670955386
26,1932.3569254648103,2973.597993049069
24,1858.4626598729267,3429.6249693050027
26,2116.990619249752,2916.39960536509
25,2081.5589979102006,2930.876730433454
25,1837.5577463077511,3393.730738287214
24,1878.6832917291965,3226.0036187794876
25,1990.8641690384682,2959.4987815967183
24,1913.7831557278002,3214.789169229336
25,1897.6135184476448,3002.341146127044
24,1943.0719806745763,3162.1110301716685
26,1860.709623584744,3120.1854234385846
24,1853.6893307565033,3522.6511005918396
24,1957.1219777895085,3122.5121662098454
24,1930.2082159146723,3207.6861278815472
24,1863.5182525530245,3421.488747797858
24,1996.6104688399914,3101.998786472981
24,1855.8455214220564,3469.4246181561266
