Objective1,Objective2,Objective3
25,416.3137583413212,2539.013557597242
27,389.72035851556524,2516.1847768178654
38,347.4511742395825,3016.107821648252
38,348.47822837847934,2991.594080603797
25,412.37051086882076,2595.6414399163837
26,400.2297778997868,2522.0519512928217
36,350.30489544529036,2950.1444310283246
35,351.36778455567134,2928.3346396291463
26,398.32950390765853,2573.5979108168967
37,348.76447287329154,2981.511610746949
34,355.55300968000773,2854.991808848707
32,356.51634120014296,2841.0916483497494
29,369.6018166622292,2728.2645075784376
31,364.33608079277394,2693.7047456145615
34,352.30339499070317,2895.954043463049
30,368.50681088850797,2650.9911447745812
32,360.1455101108508,2796.9444698887114
28,374.36680143983585,2669.862715200321
29,379.0466453498498,2579.4812922727842
28,374.36680143983585,2669.862715200321
33,361.8011098305398,2762.247801680497
33,364.0501657360476,2707.2627098498715
29,367.9106398948586,2731.423946440004
34,362.4605535603007,2738.118927968547
31,362.6291959338449,2768.1373021173963
31,359.56392549130555,2810.9658069578118
30,368.50681088850797,2650.9911447745812
29,384.4768527998342,2559.7902480830903
29,384.4768527998342,2559.7902480830903
30,363.2556314080103,2768.0442789049293
